                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.62027,                0.79596,                 1.0427,                0.96487,                0.94704,                0.98306,                0.92661,                0.36305,                0.35393,                0.86697,                 0.0067,                 0.0067,                 0.0067
                     52,                0.61982,                 0.8256,                 1.0553,                0.96393,                0.93744,                 0.9838,                0.92253,                0.35305,                0.37765,                0.85852,               0.006634,               0.006634,               0.006634
                     53,                0.59326,                0.77988,                 1.0352,                0.94652,                0.96235,                0.98886,                0.92973,                0.35486,                 0.3749,                0.85866,               0.006568,               0.006568,               0.006568
                     54,                0.62496,                0.80072,                  1.059,                0.95916,                0.96704,                0.98277,                0.93003,                0.36257,                0.34106,                0.87114,               0.006502,               0.006502,               0.006502
                     55,                0.59228,                0.74248,                 1.0273,                0.96718,                0.95556,                 0.9891,                0.94368,                 0.3335,                0.33413,                0.85117,               0.006436,               0.006436,               0.006436
                     56,                0.59607,                0.73399,                 1.0418,                0.97403,                0.95624,                0.98175,                0.92617,                0.35621,                0.33561,                0.86382,                0.00637,                0.00637,                0.00637
                     57,                 0.5939,                0.74238,                  1.036,                0.97507,                0.96895,                 0.9877,                0.93731,                0.35328,                 0.3177,                0.86227,               0.006304,               0.006304,               0.006304
                     58,                0.60529,                0.76123,                 1.0487,                0.97034,                0.95418,                 0.9871,                0.94787,                0.33055,                 0.3274,                 0.8525,               0.006238,               0.006238,               0.006238
                     59,                0.59352,                0.76456,                 1.0316,                0.97159,                0.96022,                0.98759,                0.94497,                0.32464,                0.31219,                0.84477,               0.006172,               0.006172,               0.006172
                     60,                0.56831,                0.70834,                 1.0243,                0.97643,                0.96537,                0.98664,                0.93777,                 0.3246,                0.31257,                0.84263,               0.006106,               0.006106,               0.006106
                     61,                0.59058,                0.72354,                 1.0417,                0.96798,                0.94536,                0.97853,                0.91351,                0.38468,                0.36992,                0.88376,                0.00604,                0.00604,                0.00604
                     62,                0.58341,                0.73045,                 1.0262,                0.95173,                0.94089,                0.98301,                0.92802,                0.35518,                0.34681,                0.86024,               0.005974,               0.005974,               0.005974
                     63,                0.58173,                0.70068,                 1.0247,                0.96949,                0.96855,                0.98731,                0.93005,                0.33105,                0.30854,                0.84713,               0.005908,               0.005908,               0.005908
                     64,                0.59306,                0.71959,                  1.031,                0.95268,                0.95008,                0.98477,                0.91687,                0.34594,                0.34321,                0.85022,               0.005842,               0.005842,               0.005842
                     65,                0.57835,                0.71789,                 1.0275,                0.97261,                0.95968,                0.99096,                0.93866,                0.33615,                0.30041,                0.84542,               0.005776,               0.005776,               0.005776
                     66,                0.58569,                0.71192,                  1.035,                0.95851,                0.98311,                0.99042,                0.94231,                 0.3374,                0.30017,                0.84336,                0.00571,                0.00571,                0.00571
                     67,                0.57243,                0.71739,                 1.0207,                0.96121,                0.98473,                0.99123,                0.93878,                 0.3414,                 0.3016,                0.84405,               0.005644,               0.005644,               0.005644
                     68,                0.58631,                 0.7173,                 1.0293,                0.98144,                0.95605,                0.98915,                0.93771,                0.33967,                0.31519,                0.84507,               0.005578,               0.005578,               0.005578
                     69,                0.57123,                0.70329,                 1.0357,                0.98082,                0.97182,                0.98835,                0.94142,                0.35492,                0.31312,                0.85261,               0.005512,               0.005512,               0.005512
                     70,                0.56615,                0.69673,                 1.0218,                0.96849,                0.97027,                0.99142,                0.94053,                0.35003,                0.30555,                0.85464,               0.005446,               0.005446,               0.005446
                     71,                0.57816,                0.70622,                 1.0248,                0.95568,                0.96333,                 0.9888,                0.93857,                0.35129,                0.32686,                0.85529,                0.00538,                0.00538,                0.00538
                     72,                0.55676,                0.67128,                 1.0156,                0.97125,                0.96234,                 0.9882,                0.93386,                0.32956,                0.30369,                0.84671,               0.005314,               0.005314,               0.005314
                     73,                0.55696,                 0.6499,                 1.0104,                0.97755,                0.96638,                0.98858,                0.93949,                0.33322,                0.28309,                0.85034,               0.005248,               0.005248,               0.005248
                     74,                0.58453,                0.69133,                 1.0274,                0.97771,                0.96175,                0.98533,                0.93391,                0.33823,                0.31064,                 0.8484,               0.005182,               0.005182,               0.005182
                     75,                 0.5665,                0.68565,                 1.0219,                0.94377,                0.97907,                 0.9853,                0.93724,                0.34688,                  0.317,                0.85509,               0.005116,               0.005116,               0.005116
                     76,                0.57906,                0.71412,                 1.0285,                0.96101,                0.97306,                0.98707,                0.94303,                0.32571,                0.29597,                0.84943,                0.00505,                0.00505,                0.00505
                     77,                0.56553,                0.68511,                 1.0234,                0.96949,                 0.9759,                 0.9887,                0.94609,                0.33437,                0.28389,                0.84805,               0.004984,               0.004984,               0.004984
                     78,                0.56223,                0.66606,                 1.0208,                0.95188,                0.95521,                0.98626,                0.93757,                0.34088,                0.31169,                0.85728,               0.004918,               0.004918,               0.004918
                     79,                0.54461,                0.65003,                  1.012,                0.94786,                0.95374,                0.98816,                 0.9471,                  0.329,                0.31552,                0.85062,               0.004852,               0.004852,               0.004852
                     80,                0.55176,                0.66797,                 1.0064,                0.97215,                0.95853,                0.98726,                0.93603,                0.34381,                0.29968,                0.84953,               0.004786,               0.004786,               0.004786
                     81,                0.56311,                0.66749,                 1.0166,                0.96903,                0.96434,                0.98954,                0.94257,                0.33351,                0.29827,                0.84697,                0.00472,                0.00472,                0.00472
                     82,                0.55991,                0.67593,                 1.0229,                0.97712,                0.97355,                0.98927,                0.94659,                0.34166,                0.27452,                0.84799,               0.004654,               0.004654,               0.004654
                     83,                0.55603,                0.70038,                 1.0233,                0.96702,                0.96664,                 0.9861,                0.93702,                0.33704,                0.30218,                0.84683,               0.004588,               0.004588,               0.004588
                     84,                0.56014,                 0.6681,                 1.0318,                 0.9832,                0.96796,                0.99233,                0.94833,                0.33527,                0.27809,                0.84821,               0.004522,               0.004522,               0.004522
                     85,                0.55721,                 0.6339,                 1.0183,                0.97372,                0.96287,                0.98967,                0.94432,                0.33152,                0.29872,                0.84576,               0.004456,               0.004456,               0.004456
                     86,                0.52674,                0.63844,                0.99672,                0.96984,                0.96497,                0.99156,                0.94325,                0.33158,                0.27922,                0.85039,                0.00439,                0.00439,                0.00439
                     87,                0.54846,                0.63828,                 1.0209,                0.96797,                0.95463,                0.99175,                0.95007,                0.31694,                0.28544,                0.84119,               0.004324,               0.004324,               0.004324
                     88,                0.54773,                0.63609,                 1.0082,                0.97514,                0.96744,                0.98893,                0.94207,                0.32829,                0.28186,                0.84921,               0.004258,               0.004258,               0.004258
                     89,                0.55406,                0.63658,                 1.0129,                0.96444,                 0.9838,                0.99249,                0.94608,                0.32808,                0.26443,                0.84772,               0.004192,               0.004192,               0.004192
                     90,                0.54047,                0.63839,                 1.0134,                0.97516,                0.96663,                 0.9882,                0.94308,                0.33335,                0.28089,                0.84596,               0.004126,               0.004126,               0.004126
                     91,                0.52542,                0.63936,                0.99951,                 0.9616,                0.97501,                 0.9916,                0.94382,                0.32381,                0.26866,                0.84324,                0.00406,                0.00406,                0.00406
                     92,                 0.5511,                 0.6367,                 1.0123,                0.97492,                0.95888,                0.98983,                0.94502,                0.31701,                0.27145,                0.83892,               0.003994,               0.003994,               0.003994
                     93,                0.52814,                0.63561,                 1.0032,                0.95777,                0.97995,                0.98966,                0.93718,                0.33346,                0.27838,                 0.8452,               0.003928,               0.003928,               0.003928
                     94,                0.53345,                 0.6516,                 1.0091,                 0.9605,                0.98083,                0.99353,                0.94609,                0.32817,                0.26972,                0.84732,               0.003862,               0.003862,               0.003862
                     95,                0.52466,                0.61451,                0.99508,                0.95972,                0.98295,                0.99004,                0.94731,                0.33061,                0.27274,                 0.8415,               0.003796,               0.003796,               0.003796
                     96,                0.54293,                0.62441,                 1.0159,                0.97568,                0.96785,                0.99344,                0.94677,                0.31797,                 0.2647,                0.84277,                0.00373,                0.00373,                0.00373
                     97,                0.52967,                0.62019,                  1.004,                0.98532,                0.96011,                0.99213,                0.94717,                 0.3175,                0.26055,                0.84062,               0.003664,               0.003664,               0.003664
                     98,                0.54183,                0.63976,                 1.0152,                0.98506,                0.96322,                0.98965,                0.95114,                0.31277,                0.26461,                0.83586,               0.003598,               0.003598,               0.003598
